id,code,name,user_type_id/id,chart_template_id/id,reconcile
1430,1430,Depreciación Acumulada por Mejoras en Propiedad,account.data_account_type_fixed_assets,l10n_gt_coa.gt_coa_template,False
1431,1431,Depreciación Acumulada por Mejoras en Propiedad Arrendada,account.data_account_type_fixed_assets,l10n_gt_coa.gt_coa_template,False
1500,1500,Depósitos a Largo Plazo,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1501,1501,Inversiones a Largo Plazo,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1509,1509,Otros Instrumentos Financieros de Inversión a Largo Plazo,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1510,1510,"Inversión en Investigación, Desarrollo y Organización",account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1511,1511,"Patentes, Marcas y Otros Derechos",account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1512,1512,Software y Desarrollo IT,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1513,1513,Licencias y Franquicias,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1514,1514,"Fórmulas, Modelos, Diseños y Prototipos",account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1515,1515,Contratos y Otros Derechos Adquiridos con Clientes y Proveedores,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1519,1519,Otros Activos Intangibles,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1520,1520,"Amortización Acumulada de Inversión en Investigación, Desarrollo y Organización",account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1521,1521,"Amortización Acumulada de Patentes, Marcas y Otros Derechos",account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1522,1522,Amortización Acumulada de Software y Desarrollo IT,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1523,1523,Amortización Acumulada de Licencias y Franquicias,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1524,1524,"Amortización Acumulada de Fórmulas, Modelos, Diseños y Prototipos",account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1525,1525,Amortización Acumulada de Contratos y Otros Derechos Adquiridos con Clientes y Proveedores,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1529,1529,Amortización Acumulada de Otros Activos Intangibles,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1580,1580,Crédito Fiscal Diferido por Impuesto Sobre la Renta,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1581,1581,Crédito Fiscal Diferido por Provisiones Tributarias,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1589,1589,Otros Activos por Impuestos Corrientes Diferidos,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
1599,1599,Otros Activos No Corrientes,account.data_account_type_non_current_assets,l10n_gt_coa.gt_coa_template,False
2000,2000,Prestamos Bancarios,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
2009,2009,Otros Préstamos Corrientes,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
2019,2019,Otras Obligaciones Financieras Corrientes,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
2100,2100,Cuentas por Pagar de Proveedores Comerciales,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
